"","Compound name","Floxed-ND1","Floxed-ND2","Floxed-ND3","Floxed-ND4","Floxed-HF1","Floxed-HF2","Floxed-HF3","Floxed-HF4","cKO-ND1","cKO-ND2","cKO-ND3","cKO-ND4","cKO-HF1","cKO-HF2","cKO-HF3","cKO-HF4"
"1","1,2,3-Propanetricarboxylic acid",0.000139741600719425,0.000115375085714285,0.000216722651245551,0.000193212878787878,0.00014169809946714,0.000254930881801125,0.000103342687747036,0.0003097848828125,0.000114211322463768,0.00021839645038168,0.000154337428571428,0.000156088623188406,7.49838030888031e-05,0.000102304578544061,0.000122754545454546,0.000205726884920634
"2","1,2-Dipalmitoyl-glycero-3-phosphoethanolamine-1",0.000752353359375,0.000626259156626507,0.000551669302788845,0.000816698968105063,0.000698127229357798,0.00136412895683454,0.000900141129943501,0.00176176078291815,0.0010709765010352,0.00161699676691729,0.00126745225454546,0.000786853553113552,0.00164597618677042,0.00158938454368932,0.000546492791519435,0.000976397885375496
"3","1,2-Dipalmitoyl-glycero-3-phosphoethanolamine-2",0.0006349621875,0.000263306506024097,0.000332282948207171,0.000450970206378986,0.000197742091743119,0.000947593057553959,0.000200106666666666,0.00051986921708185,0.000443186149068323,0.000247765357142857,2.22044604925031e-16,0.000276602509157509,0.00106427856031128,0.000776741436893202,0.000257693922261484,0.000314283754940712
"4","1,2-Dipalmitoyl-glycero-3-phosphoethanolamine-3",0.00158713921875,0.00111203419678715,0.00144472832669323,0.00103023121951219,0.000609120348623853,0.00131567429856115,0.00124578259887005,0.00178203677935943,0.00160253540372671,0.00128870851503759,0.00256773672727273,0.00128603901098901,0.00135418920233463,0.00155950066019417,0.000642739911660777,0.00136387988142293
"5","1,2-Dipalmitoyl-glycero-3-phosphoglycerol-1",0.0003961794921875,0.000679304538152612,0.000219713466135458,0.000489022589118198,0.000303471944954128,0.000599624532374102,0.000291184726930319,0.000495468131672597,0.000710698861283644,0.00109845340225564,0.000513815945454546,0.000706506575091574,0.00105193363813229,0.000733576524271843,0.0004813125795053,0.000300296600790514
"6","1,2-Dipalmitoyl-glycero-3-phosphoglycerol-2",0.00014603419921875,0.000129513674698795,0.000316131573705179,0.000307043414634145,6.40371743119266e-05,0.000177737805755396,7.96661205273068e-05,2.22044604925031e-16,0.000234104368530021,0.000349400676691729,0.000288993527272728,0.000286225256410256,0.000257315642023346,0.000138453359223301,0.000116704575971731,2.22044604925031e-16
"7","1,2-Distearoyl-glycero-3-phosphocholine",0.0008883080078125,0.000796089538152612,0.000940972569721115,0.000582721463414633,0.00364741405504587,0.00803935172661872,0.00531527625235404,0.00480247620996441,0.00101407639751553,0.000837718740601503,0.000805803200000001,0.00116132675824176,0.0247707862451361,0.00320478924271844,0.00459939371024735,0.00380655501976285
"8","1,3-Diaminopropane",4.50950539568346e-05,3.97077714285713e-05,0.000137392580071174,0.000143473200757575,0.000153326447602131,0.000534232101313319,8.61869565217392e-05,8.344826171875e-05,0.000223482518115942,0.000565608416030536,0.000349655047619047,0.000201092391304348,0.00020586777992278,0.000823345900383143,0.000334180968379447,0.000215097837301587
"9","1-Aminocyclopropane-1-carboxylic acid",2.22044604925031e-16,2.22044604925031e-16,1.86692704626334e-05,1.47868371212121e-05,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.97704580152672e-05,2.22044604925031e-16,1.46017391304348e-05,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"10","1-Deoxymethylsphinganine",2.22044604925031e-16,2.22044604925031e-16,1.37288047808765e-05,2.22548405253283e-05,3.00840550458715e-05,5.19654316546764e-05,2.44866290018832e-05,1.51437900355872e-05,2.41806625258799e-05,2.23903007518797e-05,4.9304890909091e-05,2.22044604925031e-16,6.17874708171205e-05,4.22614174757281e-05,2.50104593639576e-05,1.86849802371542e-05
