pathway	description	VA7KOHFHCF5	VA7KOHFHCF4	WTHFHCF4	VA7KONormal5	VA7KOHFHCF3	WTHFHCF5	VA7KONormal4	VA7KOHFHCF2	VA7KONormal1	VA7KOHFHCF6	VA7KONormal2	WTHFHCF2	WTHFHCF3	VA7KOHFHCF1	WTNormal3	WTHFHCF1	WTNormal2	VA7KONormal3	WTNormal1
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	224.94359033802132	1459.4023952105754	699.3349607166655	972.5498084405156	262.85093311951874	816.5877150749677	963.7536914426532	1162.851210026888	646.4317675624985	238.3450122210956	825.5810128540083	594.2097302188453	803.3508253287043	1021.933358083104	752.7477789004498	1104.5630424940214	661.6402083316715	605.5483516094458	846.052307624874
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	0.0	10.790882253962216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8903176809487467	8.056245763852356	0.0	0.0	4.4364937627334085	0.0	0.0	0.0
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	2.91805562834579	1214.6978982276758	465.7775516026421	0.0	188.3504372412449	0.0	0.0	1040.603599548088	0.0	0.0	0.0	530.4766807631154	734.9066660362258	4.684990051387083	0.0	1044.8938719803384	0.0	0.0	0.0
ANAEROFRUCAT-PWY	homolactic fermentation	272.207061208608	1724.9650490590896	997.3538926366984	1430.7922680590484	355.45388100166946	739.681504901933	1283.759995864003	1353.9949986080358	498.0783494082655	284.86851178023994	1213.2790595534318	717.5707977120634	969.8719156070036	1116.940825267567	950.6790131595744	1336.6766771333905	953.4595174356112	928.2436106370336	1128.6349252893283
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	300.3422201499937	1952.712642364535	976.7727904153812	1614.7325560279417	346.0194105281264	959.7902269380546	1405.291892223431	1420.059659818611	802.790557786176	292.62155654958457	1324.3404152513524	722.9725450719257	989.271970123192	1317.8927941973764	1148.4755918493006	1330.573222434643	1073.688913165259	965.536428871452	1383.32047068934
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	26.443256797620165	1122.7872700683863	471.6606621246876	15.66485210323769	184.00891490912605	0.0	0.0	1011.8027106556656	0.0	0.0	0.0	552.9809118423127	751.3353777070325	3.1789680196380004	0.0	1078.7872787913352	0.0	3.9671221031783954	0.0
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	1.1631767477184882	999.8551231184906	301.7227622774549	0.0	108.50697055417092	0.0	0.0	872.3578548842493	0.0	0.0	0.0	438.25607376395794	642.4585661504037	2.2895607304202104	0.0	909.2771527253168	0.0	0.0	0.0
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	0.0	0.0	0.0	19.60272849851504	0.0	0.0	39.55565524253313	0.0	0.0	0.0	19.051374850071227	0.0	12.301234673468931	24.42560626861946	3.4964332508370943	1.305653177230638	14.33092480487098	15.517581523977563	4.603294940255262
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	286.2537209172005	1241.6543156628277	1129.515688677456	665.6320223275703	523.3897307838625	958.0658824684532	702.6452034707349	1137.061863703885	413.63129534268586	246.41079215757856	480.4214554922864	709.5872896999394	869.4169687019768	534.6928169963227	615.2608609167368	1255.5625055040732	353.3479642091306	400.209471514109	488.0821296051537
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	303.5448207539486	1282.16022433305	1207.7108379166098	475.9854302940243	563.6255706727444	992.0262424448704	380.8780693397749	1164.2705627664773	243.4237848233923	234.37894363488573	260.11900668163526	739.3241496714194	898.2218111507223	380.3855901735189	649.8069903395373	1298.233416439772	267.09656432689553	341.3269181968017	416.5617794660897
